YEAR,RESP_BAT_ID,RESP_PIT_ID,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1999,abreb001,boner001,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,borbp001,4,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0
1999,abreb001,bottk001,3,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
1999,abreb001,bottr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,bowim001,5,4,3,4,1,0,0,0,1,1,0,0,0,0,0,0,0
1999,abreb001,browk001,9,8,4,7,1,1,0,0,4,1,0,0,0,0,0,0,0
1999,abreb001,browm005,3,3,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,cabrj001,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,cathm001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,charn001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,chenb001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,cho-j001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,chrij002,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1999,abreb001,clemm001,6,5,2,2,0,0,0,0,0,1,0,1,1,0,0,0,0
1999,abreb001,coned001,3,3,2,5,0,0,1,0,1,0,0,0,0,0,0,0,0
1999,abreb001,cookd001,3,3,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,coppr001,4,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
1999,abreb001,corba001,4,4,2,3,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,cordf001,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,crour001,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,cunnw001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,daalo001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,darev001,4,4,2,2,0,0,0,0,2,0,0,1,0,0,0,0,0
1999,abreb001,davet001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,dehar001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,dejem001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,delov001,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,dempr002,7,5,2,2,0,0,0,0,0,2,0,2,0,0,0,0,0
1999,abreb001,doteo001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,dreid001,6,6,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,duvam001,2,2,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
1999,abreb001,eberd001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,edmob001,4,4,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
1999,abreb001,eilad001,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,elars001,3,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
1999,abreb001,embra001,3,3,1,1,0,0,0,0,2,0,0,1,1,0,0,0,0
1999,abreb001,erics001,7,6,2,2,0,0,0,0,1,1,0,0,1,0,0,0,0
1999,abreb001,escok001,3,2,1,4,0,0,1,0,2,1,0,1,0,0,0,0,0
1999,abreb001,farnk001,2,2,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0
1999,abreb001,ferna001,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,fettm001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,franj001,2,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,garcr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,gardm001,2,2,1,4,0,0,1,0,1,0,0,0,0,0,0,0,0
1999,abreb001,giove001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,glavt001,11,11,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1999,abreb001,grimj001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,guzmj003,5,3,3,4,1,0,0,0,2,2,0,0,0,0,0,0,0
1999,abreb001,hallr001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,hamij002,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,hampm001,6,5,1,1,0,0,0,0,1,1,0,3,0,0,0,0,0
1999,abreb001,harnp001,6,4,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1999,abreb001,heisr001,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1999,abreb001,henrd002,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1999,abreb001,hentp001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,heref001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,hermd001,12,10,1,3,0,1,0,0,0,2,0,4,0,0,0,0,0
1999,abreb001,hernl003,7,5,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0
1999,abreb001,hernr001,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1999,abreb001,herso001,6,3,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0
1999,abreb001,hitcs001,7,7,3,4,1,0,0,0,0,0,0,2,0,0,0,0,0
1999,abreb001,hofft001,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,holtc001,3,3,2,6,1,0,1,0,4,0,0,0,0,0,0,0,0
1999,abreb001,irabh001,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1999,abreb001,jimej001,3,3,1,2,1,0,0,0,0,0,0,1,0,0,0,0,0
