YEAR,RESP_BAT_ID,BAT_FLD_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1977,bostl101,7,269,242,83,131,12,6,8,0,38,19,4,17,5,2,0,6,0
1977,bostl101,8,380,341,115,168,23,6,6,0,52,31,0,39,11,4,2,2,0
1977,bostl101,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bostl101,11,10,9,1,2,1,0,0,0,0,1,1,3,0,0,0,0,0
1977,boswk101,4,45,40,7,8,1,0,0,0,2,5,0,5,4,0,0,0,0
1977,boswk101,5,5,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,boswk101,11,58,53,14,16,0,1,0,0,10,4,1,7,1,0,0,1,0
1977,bowal001,6,675,624,175,212,19,3,4,1,41,32,2,32,11,0,13,6,0
1977,bowes101,7,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bowes101,8,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1977,bowls101,7,37,31,4,4,0,0,0,0,0,6,1,6,3,0,0,0,0
1977,bowls101,8,84,70,16,26,5,1,1,0,7,12,0,15,3,0,2,0,0
1977,bowls101,9,109,90,19,21,2,0,0,0,4,17,0,19,3,0,1,1,0
1977,bowls101,11,6,3,1,2,1,0,0,0,2,2,0,1,0,0,0,1,0
1977,braus001,7,413,341,79,108,15,1,4,0,27,61,1,40,12,1,7,3,0
1977,braus001,10,121,100,27,34,4,0,1,0,4,19,1,16,2,1,1,0,0
1977,braus001,11,10,10,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
1977,bretg001,5,618,555,173,297,32,13,22,0,86,55,8,24,12,2,3,3,0
1977,bretg001,6,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,bretg001,10,6,6,3,3,0,0,0,0,2,0,0,0,0,0,0,0,0
1977,bretg001,11,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,brigd101,3,41,36,6,10,1,0,1,0,2,5,1,4,1,0,0,0,0
1977,brigd101,8,39,35,5,5,0,0,0,0,2,3,0,8,2,0,0,1,0
1977,brigd101,9,1,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0
1977,brigd101,11,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,brobp101,1,6,6,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
1977,brocl102,7,503,471,126,166,22,6,2,0,41,30,2,71,6,2,0,0,0
1977,brocl102,11,18,18,7,7,0,0,0,0,5,0,0,3,0,0,0,0,0
1977,brohj101,4,52,48,14,24,5,1,1,0,7,2,1,2,0,0,2,0,0
1977,brohj101,5,121,100,25,37,5,2,1,0,13,17,3,6,0,1,1,2,0
1977,brohj101,10,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
1977,brohj101,11,3,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1977,browj109,1,61,56,7,7,0,0,0,0,1,1,0,24,1,0,4,0,0
1977,browo102,7,28,28,7,13,1,1,1,0,6,0,0,4,1,0,0,0,0
1977,browo102,9,11,10,3,4,1,0,0,0,2,0,0,2,1,0,0,1,0
1977,browo102,11,36,32,7,8,1,0,0,0,5,4,1,8,1,0,0,0,0
1977,brusw001,1,7,6,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0
1977,bryes101,7,68,60,13,22,1,1,2,0,3,5,0,13,2,1,2,0,0
1977,bryes101,8,133,125,35,61,9,1,5,0,15,5,0,16,2,0,3,0,0
1977,bryes101,9,36,33,9,14,3,1,0,0,5,3,0,6,1,0,0,0,0
1977,bryes101,10,14,13,2,3,1,0,0,0,2,1,0,1,0,0,0,0,0
1977,bryes101,11,13,10,1,1,0,0,0,0,3,2,0,3,0,0,0,1,0
1977,buckb001,3,433,404,114,174,27,0,11,0,55,20,2,23,15,0,2,7,0
1977,buckb001,11,24,22,7,7,0,0,0,0,5,1,0,0,1,1,0,0,0
1977,bullb101,2,26,22,4,5,1,0,0,0,4,2,0,4,0,0,2,0,0
1977,bullb101,10,11,9,1,1,0,0,0,0,1,2,0,1,1,0,0,0,0
1977,bullb101,11,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
1977,bumba001,7,87,73,16,24,3,1,1,0,3,13,1,18,2,0,1,0,0
1977,bumba001,8,481,443,146,186,27,2,3,0,36,31,2,70,2,2,1,4,0
1977,bumba001,11,3,2,2,3,1,0,0,0,2,1,1,0,0,0,0,0,0
1977,burkg101,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,burkg101,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
1977,burkg101,8,156,150,39,50,8,0,1,0,13,5,1,18,2,1,0,0,0
1977,burkg101,9,6,6,2,2,0,0,0,0,0,0,0,2,0,0,0,0,0
1977,burkg101,11,9,9,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0
1977,burlr001,6,721,663,194,253,36,7,3,0,52,47,1,69,15,2,3,6,0
