YEAR,RESP_BAT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2002,grifk002,menon,102,79,20,28,2,0,2,0,17,18,6,14,6,1,0,4,0
2002,grifk002,scoring,55,38,8,12,1,0,1,0,15,12,6,8,1,1,0,4,0
2002,grism001,empty,204,193,53,102,10,3,11,0,11,11,0,44,0,0,0,0,0
2002,grism001,loaded,9,6,2,2,0,0,0,0,8,0,0,1,0,0,0,3,0
2002,grism001,menon,167,150,42,73,11,1,6,0,49,11,2,24,6,2,0,4,0
2002,grism001,scoring,111,98,30,50,6,1,4,0,43,7,2,17,4,2,0,4,0
2002,grudm001,empty,313,307,80,114,16,0,6,0,6,6,0,50,0,0,0,0,0
2002,grudm001,loaded,13,10,2,3,1,0,0,0,9,1,0,3,2,0,0,2,0
2002,grudm001,menon,253,229,65,81,7,0,3,0,44,16,4,39,17,3,1,4,0
2002,grudm001,scoring,142,124,33,40,4,0,1,0,39,12,4,26,5,1,1,4,0
2002,guerv001,empty,374,343,115,226,22,1,29,0,29,27,1,34,0,4,0,0,0
2002,guerv001,loaded,10,8,3,6,1,1,0,0,11,2,0,1,0,0,0,0,0
2002,guerv001,menon,335,271,91,138,15,1,10,0,82,57,31,36,20,2,0,5,0
2002,guerv001,scoring,190,135,45,73,8,1,6,0,69,48,31,24,8,2,0,5,0
2002,guerw001,empty,95,91,19,20,1,0,0,0,0,4,0,24,0,0,0,0,0
2002,guerw001,loaded,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,guerw001,menon,61,49,12,15,1,1,0,0,5,3,1,8,2,0,9,0,0
2002,guerw001,scoring,33,27,5,5,0,0,0,0,4,3,1,4,0,0,3,0,0
2002,guiea001,empty,156,141,28,40,9,0,1,0,1,13,0,36,0,2,0,0,0
2002,guiea001,loaded,5,3,0,0,0,0,0,0,2,2,0,2,0,0,0,0,0
2002,guiea001,menon,113,99,28,41,4,0,3,0,37,6,1,25,3,2,2,4,0
2002,guiea001,scoring,54,43,19,30,2,0,3,0,35,5,1,11,0,0,2,4,0
2002,guilc001,empty,264,244,62,94,10,2,6,0,6,19,0,50,0,1,0,0,0
2002,guilc001,loaded,21,17,6,10,2,1,0,0,16,3,0,3,1,0,0,1,0
2002,guilc001,menon,264,231,62,93,14,4,3,0,50,27,4,41,8,0,3,3,0
2002,guilc001,scoring,148,129,34,57,12,4,1,0,45,15,4,23,5,0,1,3,0
2002,guilj001,empty,134,123,32,57,4,0,7,0,7,10,0,22,0,1,0,0,0
2002,guilj001,loaded,12,11,3,6,0,0,1,1,10,0,0,1,2,1,0,0,0
2002,guilj001,menon,125,117,25,31,3,0,1,1,24,4,1,21,13,2,1,1,0
2002,guilj001,scoring,83,76,17,21,1,0,1,1,23,3,1,16,5,2,1,1,0
2002,guthm001,empty,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,guthm001,menon,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,guthm001,scoring,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,gutir001,empty,214,199,53,67,8,0,2,0,2,11,0,24,0,4,0,0,0
2002,gutir001,loaded,13,13,4,4,0,0,0,0,6,0,0,3,3,0,0,0,0
2002,gutir001,menon,170,154,44,55,5,0,2,0,36,9,0,24,14,3,3,1,0
2002,gutir001,scoring,93,82,24,32,5,0,1,0,34,6,0,15,6,1,3,1,0
2002,guzmc001,empty,376,365,97,140,22,3,5,0,5,11,0,51,0,0,0,0,0
2002,guzmc001,loaded,9,9,3,3,0,0,0,0,3,0,0,0,1,0,0,0,0
2002,guzmc001,menon,280,258,73,100,9,3,4,0,54,6,2,28,12,2,8,6,0
2002,guzmc001,scoring,166,151,39,50,4,2,1,0,43,4,2,14,2,1,4,6,0
2002,hackl001,empty,10,9,1,1,0,0,0,0,0,1,0,3,0,0,0,0,0
2002,hackl001,menon,7,7,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
2002,hackl001,scoring,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2002,hafnt001,empty,39,37,8,11,3,0,0,0,0,2,0,9,0,0,0,0,0
2002,hafnt001,loaded,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,hafnt001,menon,31,25,7,13,1,1,1,0,6,6,1,6,0,0,0,0,0
2002,hafnt001,scoring,15,13,2,4,0,1,0,0,3,2,1,4,0,0,0,0,0
2002,hairj002,empty,287,265,71,105,15,2,5,0,5,18,0,38,0,4,0,0,0
2002,hairj002,loaded,10,7,1,1,0,0,0,0,5,1,0,1,0,0,0,2,0
2002,hairj002,menon,192,161,43,55,10,1,0,0,27,16,0,17,5,3,8,4,0
2002,hairj002,scoring,120,99,26,33,7,0,0,0,26,10,0,11,2,2,5,4,0
2002,hallb001,empty,24,22,2,2,0,0,0,0,0,2,0,10,0,0,0,0,0
2002,hallb001,menon,15,14,5,11,1,1,1,0,5,1,0,3,1,0,0,0,0
2002,hallb001,scoring,7,6,1,2,1,0,0,0,2,1,0,2,1,0,0,0,0
2002,hallr001,empty,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2002,hallr001,loaded,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,hallr001,menon,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2002,hallr001,scoring,3,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2002,hallt001,empty,188,180,39,55,10,0,2,0,2,8,0,14,0,0,0,0,0
2002,hallt001,loaded,11,7,4,4,0,0,0,0,9,1,0,0,2,0,0,3,0
2002,hallt001,menon,165,150,46,69,9,1,4,0,40,9,3,13,14,1,2,3,0
2002,hallt001,scoring,99,87,28,46,6,0,4,0,39,6,3,6,6,1,2,3,0
2002,halts001,empty,271,250,63,102,13,4,6,0,6,19,0,55,0,2,0,0,0
2002,halts001,loaded,5,5,1,2,1,0,0,0,3,0,0,2,1,0,0,0,0
2002,halts001,menon,187,160,35,60,9,2,4,0,33,20,1,37,12,2,1,4,0
2002,halts001,scoring,103,83,18,30,6,0,2,0,26,13,1,20,5,2,1,4,0
2002,hamij002,empty,17,17,7,10,3,0,0,0,0,0,0,2,0,0,0,0,0
2002,hamij002,loaded,2,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2002,hamij002,menon,16,11,0,0,0,0,0,0,1,0,0,5,0,0,4,1,0
2002,hamij002,scoring,4,3,0,0,0,0,0,0,1,0,0,3,0,0,0,1,0
2002,hammc001,empty,2,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
2002,hammj001,empty,297,266,68,110,18,3,6,0,6,31,0,53,0,0,0,0,0
2002,hammj001,loaded,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2002,hammj001,menon,213,182,47,68,8,2,3,0,35,21,0,33,13,2,1,7,0
2002,hammj001,scoring,137,110,25,42,4,2,3,0,34,17,0,25,5,2,1,7,0
2002,hampm001,empty,45,44,15,25,1,0,3,0,3,1,0,10,0,0,0,0,0
2002,hampm001,menon,21,20,7,8,1,0,0,0,2,0,0,3,1,0,1,0,0
2002,hampm001,scoring,12,12,2,3,1,0,0,0,2,0,0,2,1,0,0,0,0
2002,hansd001,empty,60,56,18,26,2,0,2,0,2,4,0,10,0,0,0,0,0
2002,hansd001,loaded,2,2,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0
2002,hansd001,menon,75,64,17,21,4,0,0,0,15,10,3,12,2,0,0,1,0
2002,hansd001,scoring,49,38,12,16,4,0,0,0,15,10,3,7,0,0,0,1,0
2002,haraa001,empty,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
2002,haraa001,menon,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2002,harrl001,empty,127,114,32,46,6,1,2,0,2,12,0,12,0,1,0,0,0
2002,harrl001,loaded,7,7,1,2,1,0,0,0,3,0,0,0,0,0,0,0,0
2002,harrl001,menon,88,83,28,35,2,1,1,0,15,2,1,5,4,1,1,1,0
2002,harrl001,scoring,49,44,10,11,1,0,0,0,12,2,1,3,1,1,1,1,0
2002,harrw001,empty,99,95,23,31,2,0,2,0,2,4,0,9,0,0,0,0,0
2002,harrw001,loaded,4,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
2002,harrw001,menon,78,68,15,17,2,0,0,0,10,5,0,12,3,0,3,2,0
