YEAR,RESP_BAT_ID,RESP_BAT_HAND_CD,RESP_PIT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2012,hoesl001,R,R,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,holab001,R,L,4,4,2,3,1,0,0,0,0,0,0,0,0,0,0,0,0
2012,holab001,R,R,9,8,1,1,0,0,0,0,0,0,0,2,0,0,1,0,0
2012,holld003,L,R,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hollm001,R,L,179,155,49,95,13,0,11,0,31,23,1,43,4,1,0,0,0
2012,hollm001,R,R,509,444,128,203,23,2,16,0,71,52,2,89,12,8,0,5,0
2012,holtb002,L,L,16,15,4,4,0,0,0,0,2,0,0,3,0,0,0,1,0
2012,holtb002,L,R,56,50,15,19,2,1,0,0,1,4,0,11,1,0,2,0,0
2012,hosme001,L,L,201,182,40,56,5,1,3,0,14,15,0,39,3,2,0,2,0
2012,hosme001,L,R,397,353,84,136,17,1,11,0,46,41,4,56,7,0,0,3,0
2012,howar001,L,L,106,98,17,37,2,0,6,1,18,5,0,45,2,2,0,1,0
2012,howar001,L,R,186,162,40,73,9,0,8,1,38,20,7,54,6,2,0,2,0
2012,hudsd001,R,L,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,hudsd001,R,R,12,9,0,0,0,0,0,0,1,2,0,6,0,0,0,1,0
2012,hudso001,L,R,197,182,36,64,3,8,3,1,23,13,1,37,2,0,2,0,0
2012,hudso001,R,L,86,78,17,17,0,0,0,0,5,7,0,14,4,0,1,0,0
2012,hudst001,R,L,25,21,2,3,1,0,0,0,1,1,0,6,0,0,3,0,0
2012,hudst001,R,R,42,34,10,12,2,0,0,0,5,1,0,12,0,1,4,2,0
2012,huffa001,L,L,10,9,1,2,1,0,0,0,0,1,0,1,1,0,0,0,0
2012,huffa001,L,R,85,69,14,20,3,0,1,0,7,15,1,11,2,0,0,1,0
2012,hughj001,R,R,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hughl001,R,L,10,9,2,2,0,0,0,0,1,0,0,3,0,0,0,1,0
2012,hughl001,R,R,14,14,1,1,0,0,0,0,1,0,0,7,0,0,0,0,0
2012,hughp001,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,humbp001,R,R,5,5,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0
2012,hundn001,R,L,89,82,8,13,2,0,1,0,4,5,1,23,2,0,1,1,0
2012,hundn001,R,R,136,122,24,37,5,1,2,0,18,10,1,33,2,2,0,2,0
2012,huntt001,R,L,159,144,49,67,6,0,4,0,14,15,1,32,3,0,0,0,0
2012,huntt001,R,R,425,390,118,174,18,1,12,0,78,23,0,101,12,8,1,3,0
2012,huntt002,R,L,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2012,hutcd001,L,R,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,iannc001,R,L,58,48,10,14,1,0,1,0,3,10,0,14,0,0,0,0,0
2012,iannc001,R,R,195,173,43,74,5,1,8,0,23,19,0,46,4,2,0,1,0
2012,ibanr001,L,L,65,61,12,15,1,1,0,0,5,2,0,13,1,2,0,0,0
2012,ibanr001,L,R,360,323,80,159,18,2,19,1,57,33,5,54,13,2,0,2,0
2012,iglej001,R,L,32,29,5,9,1,0,1,0,1,2,0,7,1,0,1,0,0
2012,iglej001,R,R,45,39,3,4,1,0,0,0,1,2,0,9,1,3,1,0,0
2012,infao001,R,L,170,161,51,87,8,2,8,0,24,4,0,16,1,0,4,1,0
2012,infao001,R,R,418,393,101,145,22,5,4,0,29,17,0,49,8,1,4,3,0
2012,ingeb001,R,L,127,115,24,48,6,0,6,0,22,10,1,35,2,1,0,1,0
2012,ingeb001,R,R,204,188,42,68,8,0,6,2,32,14,0,56,6,0,0,2,0
2012,ishit001,L,L,31,28,8,14,3,0,1,0,11,0,0,8,1,0,2,1,0
2012,ishit001,L,R,143,124,31,51,9,1,3,0,19,13,3,34,3,4,2,0,0
2012,iztuc001,L,R,123,118,31,48,7,2,2,0,9,2,0,9,4,0,3,0,0
