YEAR,PHASE,RESP_PIT_ID,RESP_PIT_HAND_CD,RESP_BAT_HAND_CD,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
1989,R,buicd001,R,R,46,40,6,8,2,0,0,0,4,4,0,8,3,0,0,2,0
1989,R,burkt001,R,L,176,158,38,59,6,0,5,0,16,12,5,22,3,0,3,3,0
1989,R,burkt001,R,R,157,144,30,39,4,1,1,0,21,10,2,32,3,0,1,2,0
1989,R,burnt001,R,L,150,134,23,31,4,2,0,0,6,14,4,15,0,0,2,0,0
1989,R,burnt001,R,R,224,203,43,58,6,0,3,0,20,14,1,34,10,1,5,1,0
1989,R,cadag001,L,L,138,123,31,40,6,0,1,0,16,12,0,22,5,1,0,2,0
1989,R,cadag001,L,R,393,341,99,136,19,0,6,0,44,45,5,58,9,1,3,3,0
1989,R,camae001,R,L,37,28,5,7,0,1,0,0,3,7,1,8,1,0,2,0,0
1989,R,camae001,R,R,33,29,5,9,1,0,1,0,4,4,1,6,0,0,0,0,0
1989,R,campm001,R,L,60,53,13,19,3,0,1,0,9,7,0,5,1,0,0,0,0
1989,R,campm001,R,R,43,40,15,26,2,0,3,0,9,3,0,1,0,0,0,0,0
1989,R,candj001,L,L,55,50,8,11,1,1,0,0,4,3,0,17,0,0,0,2,0
1989,R,candj001,L,R,219,200,58,106,9,3,11,0,31,13,3,34,2,0,3,3,0
1989,R,candt001,R,L,436,395,97,129,9,4,5,0,38,34,3,58,4,2,2,3,0
1989,R,candt001,R,R,411,383,91,119,13,0,5,0,29,21,2,66,7,2,4,1,0
1989,R,canoj001,R,L,49,44,12,15,3,0,0,0,3,4,1,6,1,0,1,0,0
1989,R,canoj001,R,R,50,46,12,19,1,0,2,0,10,3,1,2,0,0,0,1,0
1989,R,carmd001,L,L,121,108,24,47,5,0,6,0,16,9,0,14,0,2,2,0,0
1989,R,carmd001,L,R,562,476,128,211,30,4,15,0,59,77,6,67,6,1,3,5,0
1989,R,carpc001,R,L,156,137,38,51,8,1,1,0,13,17,6,14,0,0,2,0,0
