YEAR,PHASE,RESP_PIT_ID,SITUATION,B_PA,B_AB,B_H,B_TB,B_2B,B_3B,B_HR,B_HR4,B_RBI,B_BB,B_IBB,B_SO,B_GDP,B_HP,B_SH,B_SF,B_XI
2004,R,bergd003,scoring,5,3,3,4,1,0,0,0,5,1,0,0,0,0,0,1,0
2004,R,berna001,empty,75,67,20,40,5,0,5,0,5,8,0,15,0,0,0,0,0
2004,R,berna001,loaded,6,4,1,2,1,0,0,0,4,0,0,0,0,0,0,2,0
2004,R,berna001,menon,72,60,16,25,3,0,2,0,16,9,2,6,1,0,0,3,0
2004,R,berna001,scoring,49,40,10,13,3,0,0,0,12,6,2,4,0,0,0,3,0
2004,R,betar001,empty,164,158,40,61,7,1,4,0,4,6,0,41,0,0,0,0,0
2004,R,betar001,loaded,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2004,R,betar001,menon,122,107,31,49,5,2,3,0,30,12,6,35,1,0,1,2,0
2004,R,betar001,scoring,79,67,21,32,3,1,2,0,26,10,6,21,0,0,0,2,0
2004,R,biddr001,empty,197,176,47,72,7,0,6,0,6,14,0,24,0,7,0,0,0
2004,R,biddr001,loaded,8,8,6,11,2,0,1,1,12,0,0,1,0,0,0,0,0
2004,R,biddr001,menon,167,143,51,93,9,3,9,1,58,17,3,27,2,1,3,3,0
2004,R,biddr001,scoring,96,80,31,55,5,2,5,1,48,12,3,15,0,1,0,3,0
2004,R,biern001,empty,40,28,8,17,0,0,3,0,3,11,0,5,0,1,0,0,0
2004,R,biern001,menon,41,29,6,9,0,0,1,0,6,8,0,5,3,1,2,1,0
2004,R,biern001,scoring,23,14,1,4,0,0,1,0,6,6,0,1,1,0,2,1,0
2004,R,blact001,empty,74,64,19,39,2,0,6,0,6,9,0,9,0,1,0,0,0
2004,R,blact001,loaded,7,4,1,1,0,0,0,0,5,3,0,0,1,0,0,0,0
2004,R,blact001,menon,60,45,16,28,3,0,3,0,15,13,0,7,1,0,1,1,0
2004,R,blact001,scoring,37,27,6,10,1,0,1,0,11,9,0,5,1,0,0,1,0
2004,R,blanj001,empty,23,22,4,6,2,0,0,0,0,1,0,5,0,0,0,0,0
2004,R,blanj001,loaded,2,2,1,4,0,0,1,1,4,0,0,0,0,0,0,0,0
2004,R,blanj001,menon,7,6,2,5,0,0,1,1,4,1,0,1,0,0,0,0,0
2004,R,blanj001,scoring,6,6,2,5,0,0,1,1,4,0,0,1,0,0,0,0,0
2004,R,boehb001,empty,51,46,17,24,4,0,1,0,1,5,0,11,0,0,0,0,0
2004,R,boehb001,loaded,7,4,0,0,0,0,0,0,3,2,0,1,1,0,0,1,0
2004,R,boehb001,menon,63,46,10,17,2,1,1,0,13,12,3,9,6,1,1,3,0
2004,R,boehb001,scoring,44,31,6,9,1,1,0,0,11,10,3,9,4,0,0,3,0
2004,R,bondj001,empty,454,408,100,175,16,4,17,0,17,41,0,97,0,5,0,0,0
2004,R,bondj001,loaded,8,8,3,6,0,0,1,1,9,0,0,2,0,0,0,0,0
2004,R,bondj001,menon,339,287,68,107,18,0,7,1,74,32,5,71,13,5,10,5,0
2004,R,bondj001,scoring,193,162,39,63,12,0,4,1,64,20,5,42,7,3,3,5,0
2004,R,bongj001,empty,38,34,9,17,2,0,2,0,2,4,0,7,0,0,0,0,0
2004,R,bongj001,loaded,3,3,1,2,1,0,0,0,3,0,0,1,0,0,0,0,0
2004,R,bongj001,menon,37,29,8,13,2,0,1,0,9,6,0,4,1,0,2,0,0
2004,R,bongj001,scoring,23,19,6,10,1,0,1,0,9,4,0,2,0,0,0,0,0
2004,R,borkd001,empty,124,117,41,73,12,1,6,0,6,6,0,21,0,1,0,0,0
2004,R,borkd001,loaded,9,8,2,2,0,0,0,0,5,0,0,3,1,0,0,1,0
2004,R,borkd001,menon,123,108,24,29,5,0,0,0,24,9,1,24,5,2,2,2,0
2004,R,borkd001,scoring,78,66,16,20,4,0,0,0,23,8,1,12,2,1,1,2,0
2004,R,borlt001,empty,48,44,13,24,3,1,2,0,2,4,0,12,0,0,0,0,0
2004,R,borlt001,loaded,3,1,0,0,0,0,0,0,2,1,0,0,0,0,0,1,0
2004,R,borlt001,menon,38,27,5,9,1,0,1,0,6,8,5,6,0,0,2,1,0
2004,R,borlt001,scoring,24,15,1,2,1,0,0,0,4,7,5,3,0,0,1,1,0
2004,R,boroj001,empty,45,38,10,18,3,1,1,0,1,7,0,8,0,0,0,0,0
2004,R,boroj001,loaded,3,3,1,4,0,0,1,1,4,0,0,1,0,0,0,0,0
2004,R,boroj001,menon,61,51,17,26,1,1,2,1,17,8,2,9,0,0,1,1,0
2004,R,boroj001,scoring,41,34,11,17,1,1,1,1,15,6,2,6,0,0,0,1,0
2004,R,bottr001,empty,146,129,28,38,4,0,2,0,2,14,0,30,0,3,0,0,0
2004,R,bottr001,loaded,6,6,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
2004,R,bottr001,menon,150,122,26,38,9,0,1,0,23,20,7,31,4,1,3,4,0
2004,R,bottr001,scoring,89,68,13,18,2,0,1,0,18,16,7,19,2,1,0,4,0
2004,R,boydj001,empty,35,30,9,22,4,0,3,0,3,4,0,10,0,1,0,0,0
2004,R,boydj001,loaded,3,1,0,0,0,0,0,0,2,2,0,1,0,0,0,0,0
2004,R,boydj001,menon,29,20,4,8,1,0,1,0,5,4,1,2,2,2,3,0,0
2004,R,boydj001,scoring,22,13,1,2,1,0,0,0,3,4,1,2,2,2,3,0,0
2004,R,bradc001,empty,136,126,25,34,0,0,3,0,3,8,0,25,0,2,0,0,0
2004,R,bradc001,loaded,6,6,3,4,1,0,0,0,6,0,0,1,0,0,0,0,0
2004,R,bradc001,menon,115,92,26,35,3,0,2,0,24,16,9,9,6,3,3,1,0
2004,R,bradc001,scoring,68,55,15,18,3,0,0,0,20,11,9,6,1,1,0,1,0
2004,R,brazd001,empty,294,258,64,99,21,1,4,0,4,32,0,34,0,4,0,0,0
2004,R,brazd001,loaded,12,8,1,1,0,0,0,0,6,1,0,0,0,0,0,3,0
2004,R,brazd001,menon,241,207,57,96,15,0,8,0,53,21,2,30,12,7,0,6,0
2004,R,brazd001,scoring,132,112,33,56,8,0,5,0,45,10,2,12,3,4,0,6,0
